"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","8174","Login with blank username and password","chromium","Tue Aug 20 12:56:13 IST 2024","passed","Tue Aug 20 12:56:22 IST 2024","","login\login_Blank Credentials.spec.ts","",""
"","6739","Sauce Demo Purchase Product-Logout","chromium","Tue Aug 20 12:56:01 IST 2024","passed","Tue Aug 20 12:56:08 IST 2024","","Cart\cart_Logout.spec.ts","",""
"","4677","Sauce Demo Purchase Product","chromium","Tue Aug 20 12:55:56 IST 2024","passed","Tue Aug 20 12:56:01 IST 2024","","Cart\cart_Add product.spec.ts","",""
"","7169","Login with blank username and password","firefox","Tue Aug 20 12:57:04 IST 2024","passed","Tue Aug 20 12:57:11 IST 2024","","login\login_Blank Credentials.spec.ts","",""
"","2687","Login with blank username","webkit","Tue Aug 20 12:58:07 IST 2024","passed","Tue Aug 20 12:58:09 IST 2024","","login\login_Blank Password.spec.ts","",""
"","1721","Login with invalid Credentials","chromium","Tue Aug 20 12:56:18 IST 2024","passed","Tue Aug 20 12:56:19 IST 2024","","login\login_Invalid Credentials.spec.ts","",""
"","7444","Login with valid credentails","webkit","Tue Aug 20 12:58:15 IST 2024","passed","Tue Aug 20 12:58:22 IST 2024","","login\login_Valid Credentails.spec.ts","",""
"","6862","Login with valid credentails","chromium","Tue Aug 20 12:56:22 IST 2024","passed","Tue Aug 20 12:56:28 IST 2024","","login\login_Valid Credentails.spec.ts","",""
"","3583","Sauce Demo Purchase Product-Remove item from Cart","chromium","Tue Aug 20 12:56:08 IST 2024","passed","Tue Aug 20 12:56:12 IST 2024","","Cart\cart_Remove product.spec.ts","",""
"","7598","Login with valid credentails","firefox","Tue Aug 20 12:57:15 IST 2024","passed","Tue Aug 20 12:57:23 IST 2024","","login\login_Valid Credentails.spec.ts","",""
"","2365","Login with invalid username","firefox","Tue Aug 20 12:57:02 IST 2024","passed","Tue Aug 20 12:57:04 IST 2024","","login\login_ Username Invalid.spec.ts","",""
"","7875","Login with blank username and password","webkit","Tue Aug 20 12:58:04 IST 2024","passed","Tue Aug 20 12:58:12 IST 2024","","login\login_Blank Credentials.spec.ts","",""
"","3331","Login with blank username","chromium","Tue Aug 20 12:56:21 IST 2024","passed","Tue Aug 20 12:56:24 IST 2024","","login\login_Username blank.spec.ts","",""
"","3089","Login with invalid username","webkit","Tue Aug 20 12:58:03 IST 2024","passed","Tue Aug 20 12:58:07 IST 2024","","login\login_ Username Invalid.spec.ts","",""
"","2052","Login with invalid username","chromium","Tue Aug 20 12:56:12 IST 2024","passed","Tue Aug 20 12:56:14 IST 2024","","login\login_ Username Invalid.spec.ts","",""
"","14799","Open new Tab","webkit","Tue Aug 20 12:57:49 IST 2024","passed","Tue Aug 20 12:58:03 IST 2024","","Cart\cart_OpenNewTab.spec.ts","",""
"","3795","Sauce Demo Purchase Product-Cancel","chromium","Tue Aug 20 12:55:56 IST 2024","passed","Tue Aug 20 12:56:00 IST 2024","","Cart\cart_Cancel.spec.ts","",""
"","3093","Login with invalid Password","webkit","Tue Aug 20 12:58:12 IST 2024","passed","Tue Aug 20 12:58:15 IST 2024","","login\login_Password Invalid .spec.ts","",""
"","4448","Sauce Demo Purchase Product-Remove item from Cart","firefox","Tue Aug 20 12:56:57 IST 2024","passed","Tue Aug 20 12:57:02 IST 2024","","Cart\cart_Remove product.spec.ts","",""
"","3093","Login with blank username","webkit","Tue Aug 20 12:58:12 IST 2024","passed","Tue Aug 20 12:58:15 IST 2024","","login\login_Username blank.spec.ts","",""
"","5355","View Purchase Product List","firefox","Tue Aug 20 12:57:26 IST 2024","passed","Tue Aug 20 12:57:32 IST 2024","","productDetails\productdetails_viewPurchase.spec.ts","",""
"","7613","View Purchase Product List","firefox","Tue Aug 20 12:57:23 IST 2024","passed","Tue Aug 20 12:57:30 IST 2024","","ProductBrowsing\productBrowsing_viewProductlist.spec.ts","",""
"","1825","Login with invalid Password","chromium","Tue Aug 20 12:56:19 IST 2024","passed","Tue Aug 20 12:56:21 IST 2024","","login\login_Password Invalid .spec.ts","",""
"","4103","Login with blank username","firefox","Tue Aug 20 12:57:14 IST 2024","passed","Tue Aug 20 12:57:18 IST 2024","","login\login_Username blank.spec.ts","",""
"","9545","View Purchase Product List","webkit","Tue Aug 20 12:58:22 IST 2024","passed","Tue Aug 20 12:58:32 IST 2024","","ProductBrowsing\productBrowsing_viewProductlist.spec.ts","",""
"","8156","Sauce Demo Purchase Product-Logout","firefox","Tue Aug 20 12:56:49 IST 2024","passed","Tue Aug 20 12:56:57 IST 2024","","Cart\cart_Logout.spec.ts","",""
"","3517","Login with invalid Password","firefox","Tue Aug 20 12:57:11 IST 2024","passed","Tue Aug 20 12:57:15 IST 2024","","login\login_Password Invalid .spec.ts","",""
"","3214","Login with invalid Credentials","firefox","Tue Aug 20 12:57:11 IST 2024","passed","Tue Aug 20 12:57:14 IST 2024","","login\login_Invalid Credentials.spec.ts","",""
"","11083","Open new Tab","chromium","Tue Aug 20 12:56:02 IST 2024","passed","Tue Aug 20 12:56:13 IST 2024","","Cart\cart_OpenNewTab.spec.ts","",""
"","6625","Sauce Demo Purchase Product-Cancel","webkit","Tue Aug 20 12:57:42 IST 2024","passed","Tue Aug 20 12:57:48 IST 2024","","Cart\cart_Cancel.spec.ts","",""
"","9275","Sauce Demo Purchase Product-Logout","webkit","Tue Aug 20 12:57:48 IST 2024","passed","Tue Aug 20 12:57:58 IST 2024","","Cart\cart_Logout.spec.ts","",""
"","5932","View Purchase Product List","chromium","Tue Aug 20 12:56:28 IST 2024","passed","Tue Aug 20 12:56:34 IST 2024","","ProductBrowsing\productBrowsing_viewProductlist.spec.ts","",""
"","3905","View Purchase Product List","chromium","Tue Aug 20 12:56:33 IST 2024","passed","Tue Aug 20 12:56:37 IST 2024","","productDetails\productdetails_viewPurchase.spec.ts","",""
"","6573","Sauce Demo Purchase Product-Remove item from Cart","webkit","Tue Aug 20 12:57:58 IST 2024","passed","Tue Aug 20 12:58:04 IST 2024","","Cart\cart_Remove product.spec.ts","",""
"","9220","Sauce Demo Purchase Product","firefox","Tue Aug 20 12:56:38 IST 2024","passed","Tue Aug 20 12:56:47 IST 2024","","Cart\cart_Add product.spec.ts","",""
"","8724","Sort Purchase Product","chromium","Tue Aug 20 12:56:25 IST 2024","passed","Tue Aug 20 12:56:33 IST 2024","","ProductBrowsing\productBrowsing_sortProductList.spec.ts","",""
"","8952","Sauce Demo Purchase Product","webkit","Tue Aug 20 12:57:39 IST 2024","passed","Tue Aug 20 12:57:48 IST 2024","","Cart\cart_Add product.spec.ts","",""
"","14077","Open new Tab","firefox","Tue Aug 20 12:56:53 IST 2024","passed","Tue Aug 20 12:57:07 IST 2024","","Cart\cart_OpenNewTab.spec.ts","",""
"","3141","Login with blank username","firefox","Tue Aug 20 12:57:07 IST 2024","passed","Tue Aug 20 12:57:11 IST 2024","","login\login_Blank Password.spec.ts","",""
"","8235","Sort Purchase Product","webkit","Tue Aug 20 12:58:15 IST 2024","passed","Tue Aug 20 12:58:24 IST 2024","","ProductBrowsing\productBrowsing_sortProductList.spec.ts","",""
"","8595","Sort Purchase Product","firefox","Tue Aug 20 12:57:18 IST 2024","passed","Tue Aug 20 12:57:26 IST 2024","","ProductBrowsing\productBrowsing_sortProductList.spec.ts","",""
"","3676","Login with blank username","chromium","Tue Aug 20 12:56:14 IST 2024","passed","Tue Aug 20 12:56:17 IST 2024","","login\login_Blank Password.spec.ts","",""
"","2576","Login with invalid Credentials","webkit","Tue Aug 20 12:58:09 IST 2024","passed","Tue Aug 20 12:58:12 IST 2024","","login\login_Invalid Credentials.spec.ts","",""
"","6566","View Purchase Product List","webkit","Tue Aug 20 12:58:24 IST 2024","passed","Tue Aug 20 12:58:30 IST 2024","","productDetails\productdetails_viewPurchase.spec.ts","",""
"","10675","Sauce Demo Purchase Product-Cancel","firefox","Tue Aug 20 12:56:40 IST 2024","passed","Tue Aug 20 12:56:51 IST 2024","","Cart\cart_Cancel.spec.ts","",""
